plot,treenum,status,name,big end,small end,length,decomposition class,,STATUS,dead standing: 1,lying: 2
1,1,1,Benguet Pine,0.233,0.214,8.5,4,,,,
2,1,1,Benguet Pine,0.042,0.035,0.95,4,,,,
2,2,1,Benguet Pine,0.077,0.048,0.95,4,,,,
2,3,1,Benguet Pine,0.118,0.155,0.8,4,,,,
2,4,1,Benguet Pine,0.087,0.136,0.79,4,,,,
2,5,1,Benguet Pine,0.664,0.553,1.02,4,,,,
2,6,1,Benguet Pine,0.19,0.134,0.6,4,,,,
2,7,1,Benguet Pine,0.123,0.085,0.9,4,,,,
2,8,1,Benguet Pine,0.417,0.348,0.8,4,,,,
2,9,1,Benguet Pine,0.435,0.308,0.4,4,,,,
2,10,1,Benguet Pine,0.383,0.354,0.5,4,,,,
2,11,1,Benguet Pine,0.193,0.19,0.67,4,,,,
2,12,2,Benguet Pine,0.163,0.115,0.8, Rotten ,,,,
2,13,2,Benguet Pine,0.252,0.23,0.6, Rotten ,,,,
2,14,2,Benguet Pine,0.19,0.12,1.79, Sound ,,,,
2,15,2,Benguet Pine,0.19,0.14,4.84, Intermediate ,,,,
3,1,1,Benguet Pine,0.386,0.288,14.29,4,,,,
3,2,1,Benguet Pine,0.4,0.25,11.18,4,,,,
3,3,1,Benguet Pine,0.277,0.05,10.79,4,,,,
4,1,1,Benguet Pine,0.229,0.208,1.1,4,,,,
4,2,1,Benguet Pine,0.201,0.186,0.68,4,,,,
4,3,1,Benguet Pine,0.61,0.524,0.67,4,,,,
4,4,1,Benguet Pine,0.217,0.148,1.2,4,,,,
4,5,1,Benguet Pine,0.215,0.169,1.8,4,,,,
4,6,1,Benguet Pine,0.365,0.268,1.8,4,,,,
4,7,1,Benguet Pine,0.625,0.46,0.76,4,,,,
4,8,1,Benguet Pine,0.418,0.21,1.5,4,,,,
4,9,1,Benguet Pine,0.124,0.05,9,4,,,,
4,10,1,Benguet Pine,0.254,0.172,0.6,4,,,,
4,11,1,Benguet Pine,0.505,0.404,2.7,4,,,,
4,12,1,Benguet Pine,0.688,0.548,0.82,4,,,,
4,13,2,Benguet Pine,0.319,0.194,1.44, Rotten ,,,,
4,14,2,Benguet Pine,0.283,0.3,1.98, Rotten ,,,,
4,15,2,Benguet Pine,0.335,0.38,3.14, Rotten ,,,,
4,16,2,Benguet Pine,0.154,0.329,3.85, Sound ,,,,
4,17,2,Benguet Pine,0.445,0.328,1.63, Sound ,,,,
5,1,1,Benguet Pine,0.41,0.386,0.4,4,,,,
5,2,1,Benguet Pine,0.35,0.328,0.5,4,,,,
5,3,1,Benguet Pine,0.36,0.318,0.62,4,,,,
5,4,1,Benguet Pine,0.47,0.286,1.52,4,,,,
5,5,2,Benguet Pine,1.21,0.709,10.45, Sound ,,,,
6,1,1,Benguet Pine,0.355,0.286,0.5,4,,,,
6,2,1,Benguet Pine,0.572,0.46,1.05,4,,,,
6,3,2,Benguet Pine,0.36,0.18,3.85, Rotten ,,,,
7,1,1,Benguet Pine,0.28,0.238,0.31,4,,,,
7,2,1,Benguet Pine,0.1,0.08,0.3,4,,,,
7,3,1,Benguet Pine,0.28,0.251,4,4,,,,
7,4,1,Benguet Pine,0.18,0.15,0.3,4,,,,
7,5,1,Benguet Pine,0.15,0.126,0.9,4,,,,
7,6,1,Benguet Pine,0.17,0.152,0.15,4,,,,
7,7,1,Benguet Pine,0.09,0.08,0.08,4,,,,
7,8,1,Benguet Pine,0.08,0.07,1.2,4,,,,
7,9,1,Benguet Pine,0.23,0.17,2.26,4,,,,
7,10,2,Benguet Pine,0.13,0.095,0.5, Rotten ,,,,
8,1,1,Benguet Pine,0.382,0.26,0.77,4,,,,
8,2,1,Benguet Pine,0.443,0.38,0.64,4,,,,
8,3,1,Benguet Pine,0.583,0.428,1.3,4,,,,
8,4,1,Benguet Pine,0.268,0.153,4.527,4,,,,
8,5,2,Benguet Pine,0.43,0.35,2.86, Sound ,,,,
8,6,2,Benguet Pine,0.35,0.24,2, Sound ,,,,
8,7,2,Benguet Pine,0.39,0.08,10.8, Sound ,,,,
8,8,2,Benguet Pine,0.18,0.08,5, Sound ,,,,
8,9,2,Benguet Pine,0.31,0.08,7.8, Sound ,,,,
8,10,2,Benguet Pine,0.5,0.382,2.46, Rotten ,,,,
8,11,2,Benguet Pine,0.18,0.2,3, Rotten ,,,,
8,12,2,Benguet Pine,0.26,0.22,3.6, Rotten ,,,,
9,0,0,0,0,0,0,0,,,,
10,1,1,Benguet Pine,0.095,0.079,2.5,4,,,,
11,1,1,Benguet Pine,0.07,0.052,0.8216,4,,,,
11,2,1,Benguet Pine,0.054,0.034,2,3,,,,
11,3,1,Benguet Pine,0.0197,0.013,6.2,4,,,,
11,4,1,Benguet Pine,0.32,0.287,1.2,4,,,,
11,5,1,Benguet Pine,0.336,0.198,1.7,4,,,,
11,6,1,Benguet Pine,0.344,0.28,1.8,4,,,,
11,7,1,Benguet Pine,0.83,0.502,0.25,4,,,,
11,8,1,Benguet Pine,0.848,0.738,0.78,4,,,,
11,9,1,Benguet Pine,0.778,0.648,0.9,4,,,,
11,10,1,Benguet Pine,0.398,0.385,1.08,4,,,,
11,11,1,Benguet Pine,0.187,0.03,1.5652,4,,,,
11,12,2,Benguet Pine,0.07,0.35,3.22, Rotten ,,,,
11,13,2,Benguet Pine,0.18,0.096,2.1, Rotten ,,,,
11,14,2,Benguet Pine,0.089,0.073,2.8, Rotten ,,,,
11,15,2,Benguet Pine,0.09,0.058,1.8, Rotten ,,,,
11,16,2,Benguet Pine,0.24,0.119,3.84, Rotten ,,,,
11,17,2,Benguet Pine,0.624,0.38,7.1, Intermediate ,,,,
11,18,2,Benguet Pine,0.188,0.087,3.3, Intermediate ,,,,
11,19,2,Benguet Pine,0.144,0.114,2.8, Rotten ,,,,
11,20,2,Benguet Pine,0.105,0.07,1.7, Rotten ,,,,
11,21,2,Benguet Pine,0.153,0.115,1.3, Rotten ,,,,
