,ELECTRICITY CONSUMPTION (liters),,
MONTH,MILL OPERATIONS,MINE OPERATIONS,OTHER LOADS
1,16453818.96,5864635.172,1212541.523
2,14933288.19,5991444.224,1104806.597
3,17059556.35,6255978.914,1156641.241
4,15944482.83,5759322.81,1070553.277
5,17801536.98,6809969.235,1116165.868
6,16754310.18,6383590.014,1110788.076
7,16668463.23,6358504.871,1370575.671
8,14870535.08,6042923.017,1350632.21
9,14459906.3,5351830.661,1311956.497
10,15953341.68,5790829.105,1373664.041
11,14752542.82,5580750,1432541.8
12,15731803.41,5813916.632,1186378.692
