,0-10cm,,10-20cm,,20-30cm,,0-10cm,,10-20cm,,20-30cm,,0-10cm,,10-20cm,,20-30cm,
PLOT,LOW %C,LOW %OM,LOW %C,LOW %OM,LOW %C,LOW %OM,MID %C,MID %OM,MID %C,MID %OM,MID %C,MID %OM,TOP %C,TOP %OM,TOP %C,TOP %OM,TOP %C,TOP %OM
1,5.05,8.69,5.03,8.66,5.08,8.73,4.68,8.0496,4.68,8.0496,4.72,8.1184,4.36,7.4992,2.95,5.074,3.88,6.6736
2,5.05,8.69,5.03,8.66,5.08,8.73,4.68,8.0496,4.68,8.0496,4.72,8.1184,4.36,7.4992,2.95,5.074,3.88,6.6736
3,5.548725,9.543807,4.16,7.1552,3.64,6.2608,4.44,7.6368,4.17,7.1724,4.78,8.2216,4.7555625,8.1795675,2.37,4.0764,2.66,4.5752
4,4.38,7.5336,4.04,6.9488,3.73,6.4156,4.72,8.1184,4.55,7.826,4.26,7.3272,4.57,7.8604,4.51,7.7572,4.51,7.7572
5,4.38,7.5336,4.04,6.9488,3.73,6.4156,4.72,8.1184,4.55,7.826,4.26,7.3272,4.57,7.8604,4.51,7.7572,4.51,7.7572
6,4.38,7.5336,4.04,6.9488,3.73,6.4156,4.72,8.1184,4.55,7.826,4.26,7.3272,4.57,7.8604,4.51,7.7572,4.51,7.7572
7,4.883762115,8.400070837,4.6284,7.960848,2.891475,4.973337,4.342199387,7.468582945,1.984802691,3.413860628,1.412319413,2.429189391,4.390700219,7.552004376,1.99542713,3.432134664,1.778041575,3.05823151
8,4.38,7.5336,4.04,6.9488,3.73,6.4156,4.72,8.1184,4.55,7.826,4.26,7.3272,4.57,7.8604,4.51,7.7572,4.51,7.7572
9,4.636930435,7.975520348,4.38023702,7.534007675,2.611823666,4.492336705,4.356444444,7.493084444,4.331853659,7.450788293,4.243265136,7.298416033,4.25204,7.3135088,3.492367991,6.006872944,2.4388,4.194736
10,4.57,7.8604,4.57,7.8604,4.15,7.138,4.59,7.8948,4.8,8.256,3.84,6.6048,4.32,7.4304,4.82,8.2904,4.15,7.138
11,4.68,8.0496,4.61,7.9292,4.63,7.9636,4.43313,7.6249836,4.21,7.2412,4.44,7.6368,4.86,8.3592,4.86,8.3592,4.76,8.1872
12,2.68,4.6096,3.92,6.7424,4.58,7.8776,2.337075,4.019769,2.13,3.6636,1.95,3.354,1.484925,2.554071,0.8,1.376,1.06,1.8232
13,3.14,5.4008,3.13,5.3836,2.85,4.902,1.9157775,3.2951373,1.94,3.3368,2.39,4.1108,3.45462,5.9419464,1.97,3.3884,1.59,2.7348
14,2.166771845,3.726847573,0.811452658,1.395698571,0.415303937,0.714322772,2.758988372,4.74546,2.59672314,4.466363802,1.868560847,3.213924656,1.952056641,3.357537422,0.696334459,1.19769527,0.436928131,0.751516386
15,2.166771845,3.726847573,0.811452658,1.395698571,0.415303937,0.714322772,2.758988372,4.74546,2.59672314,4.466363802,1.868560847,3.213924656,1.952056641,3.357537422,0.696334459,1.19769527,0.436928131,0.751516386
16,1.026596273,1.76574559,1.726263158,2.969172632,1.830612245,3.148653061,1.360906489,2.34075916,2.037451351,3.504416324,2.354482218,4.049709414,2.288452869,3.936138934,1.069271523,1.83914702,0.612895833,1.054180833
17,1.026596273,1.76574559,1.726263158,2.969172632,1.830612245,3.148653061,1.360906489,2.34075916,2.037451351,3.504416324,2.354482218,4.049709414,2.288452869,3.936138934,1.069271523,1.83914702,0.612895833,1.054180833
18,1.026596273,1.76574559,1.726263158,2.969172632,1.830612245,3.148653061,1.360906489,2.34075916,2.037451351,3.504416324,2.354482218,4.049709414,2.288452869,3.936138934,1.069271523,1.83914702,0.612895833,1.054180833
19,3.71445092,6.388855583,2.675346154,4.601595385,1.322538462,2.274766154,1.515618147,2.606863214,1.215172662,2.090096978,1.05503125,1.81465375,1.754389262,3.01754953,0.956298795,1.644833928,0.658433544,1.132505696
20,3.71445092,6.388855583,2.675346154,4.601595385,1.322538462,2.274766154,1.515618147,2.606863214,1.215172662,2.090096978,1.05503125,1.81465375,1.754389262,3.01754953,0.956298795,1.644833928,0.658433544,1.132505696
21,3.71445092,6.388855583,2.675346154,4.601595385,1.322538462,2.274766154,1.515618147,2.606863214,1.215172662,2.090096978,1.05503125,1.81465375,1.754389262,3.01754953,0.956298795,1.644833928,0.658433544,1.132505696
