plotnumber,treenumber,common name,dbh
1,1,Benguet Pine, 45.10 
1,2,Benguet Pine, 41.50 
1,3,Benguet Pine, 43.50 
1,4,Benguet Pine, 36.00 
1,5,Benguet Pine, 39.90 
1,6,Benguet Pine, 30.50 
1,7,Benguet Pine, 37.80 
1,8,Benguet Pine, 39.10 
1,9,Benguet Pine, 42.60 
1,10,Benguet Pine, 48.20 
1,11,Benguet Pine, 46.60 
1,12,Benguet Pine, 32.80 
1,13,Benguet Pine, 34.40 
1,14,Benguet Pine, 42.10 
2,1,Benguet Pine, 58.80 
2,2,Benguet Pine, 35.90 
2,3,Benguet Pine, 37.50 
2,4,Benguet Pine, 37.00 
2,5,Benguet Pine, 38.00 
2,6,Benguet Pine, 35.50 
2,7,Benguet Pine, 40.50 
2,8,Benguet Pine, 40.80 
2,9,Benguet Pine, 42.80 
2,10,Benguet Pine, 33.50 
2,11,Benguet Pine, 42.80 
2,12,Benguet Pine, 35.00 
2,13,Benguet Pine, 31.40 
2,14,Benguet Pine, 41.00 
2,15,Benguet Pine, 31.00 
2,16,Benguet Pine, 40.00 
2,17,Benguet Pine, 35.70 
2,18,Benguet Pine, 44.00 
2,19,Benguet Pine, 31.00 
2,20,Benguet Pine, 45.00 
2,21,Benguet Pine, 35.00 
2,22,Benguet Pine, 44.50 
2,23,Benguet Pine, 34.00 
2,24,Benguet Pine, 32.80 
2,25,Benguet Pine, 37.00 
2,26,Benguet Pine, 36.50 
2,27,Benguet Pine, 34.20 
2,28,Benguet Pine, 37.70 
2,29,Benguet Pine, 37.00 
2,30,Benguet Pine, 36.00 
2,31,Benguet Pine, 40.70 
2,32,Benguet Pine, 40.50 
2,33,Benguet Pine, 38.80 
2,34,Benguet Pine, 40.30 
2,35,Benguet Pine, 38.10 
2,36,Benguet Pine, 32.00 
2,37,Benguet Pine, 31.50 
2,38,Benguet Pine, 39.96 
3,1,Benguet Pine, 80.60 
3,2,Benguet Pine, 33.50 
3,3,Benguet Pine, 32.40 
3,4,Benguet Pine, 35.20 
3,5,Benguet Pine, 34.60 
3,6,Benguet Pine, 32.90 
3,7,Benguet Pine, 32.50 
3,8,Benguet Pine, 33.50 
3,9,Benguet Pine, 47.60 
3,10,Benguet Pine, 39.90 
3,11,Benguet Pine, 58.50 
3,12,Benguet Pine, 32.80 
3,13,Benguet Pine, 33.00 
3,14,Benguet Pine, 35.30 
3,15,Benguet Pine, 41.20 
4,1,Benguet Pine, 36.90 
4,2,Benguet Pine, 34.50 
4,3,Benguet Pine, 38.40 
4,4,Benguet Pine, 31.70 
4,5,Benguet Pine, 41.90 
4,6,Benguet Pine, 40.00 
4,7,Benguet Pine, 40.70 
4,8,Benguet Pine, 32.10 
4,9,Benguet Pine, 32.80 
4,10,Benguet Pine, 35.70 
4,11,Benguet Pine, 31.70 
4,12,Benguet Pine, 30.40 
4,13,Benguet Pine, 39.30 
4,14,Benguet Pine, 33.90 
4,15,Benguet Pine, 36.90 
4,16,Benguet Pine, 37.30 
4,17,Benguet Pine, 37.30 
4,18,Benguet Pine, 36.00 
4,19,Benguet Pine, 34.90 
4,20,Benguet Pine, 31.80 
4,21,Benguet Pine, 30.70 
4,22,Benguet Pine, 40.50 
4,23,Benguet Pine, 34.90 
4,24,Benguet Pine, 38.00 
4,25,Benguet Pine, 33.90 
4,26,Benguet Pine, 45.60 
4,27,Benguet Pine, 39.10 
4,28,Benguet Pine, 44.00 
4,29,Benguet Pine, 34.00 
4,30,Benguet Pine, 35.00 
4,31,Benguet Pine, 42.50 
4,32,Benguet Pine, 52.40 
4,33,Benguet Pine, 30.10 
4,34,Benguet Pine, 30.09 
4,35,Benguet Pine, 37.40 
4,36,Benguet Pine, 35.90 
4,37,Benguet Pine, 36.60 
4,38,Benguet Pine, 32.00 
4,39,Benguet Pine, 30.30 
4,40,Benguet Pine, 35.50 
4,41,Benguet Pine, 37.80 
4,42,Benguet Pine, 36.00 
4,43,Benguet Pine, 43.00 
4,44,Benguet Pine, 37.00 
4,45,Benguet Pine, 34.00 
4,46,Benguet Pine, 36.70 
4,47,Benguet Pine, 30.80 
4,48,Benguet Pine, 30.50 
4,49,Benguet Pine, 30.10 
4,50,Benguet Pine, 30.89 
5,1,Benguet Pine, 30.80 
5,2,Benguet Pine, 40.80 
5,3,Benguet Pine, 34.20 
5,4,Benguet Pine, 43.00 
5,5,Benguet Pine, 32.00 
5,6,Benguet Pine, 31.00 
5,7,Benguet Pine, 31.00 
5,8,Benguet Pine, 36.00 
5,9,Benguet Pine, 36.00 
5,10,Benguet Pine, 33.00 
5,11,Benguet Pine, 36.50 
5,12,Benguet Pine, 41.00 
5,13,Benguet Pine, 43.00 
5,14,Benguet Pine, 51.50 
5,15,Benguet Pine, 53.00 
5,16,Benguet Pine, 43.00 
5,17,Benguet Pine, 43.00 
5,18,Benguet Pine, 34.00 
5,19,Benguet Pine, 32.00 
5,20,Benguet Pine, 44.00 
5,21,Benguet Pine, 44.00 
5,22,Benguet Pine, 46.50 
5,23,Benguet Pine, 36.00 
5,24,Benguet Pine, 44.00 
5,25,Benguet Pine, 36.50 
5,26,Benguet Pine, 43.00 
5,27,Benguet Pine, 40.00 
5,28,Benguet Pine (forked), 35.50 
5,29,Benguet Pine (forked), 35.50 
5,30,Benguet Pine, 41.00 
5,31,Benguet Pine (forked), 34.00 
5,32,Benguet Pine (forked), 31.50 
5,33,Benguet Pine, 34.50 
5,34,Benguet Pine, 42.00 
5,35,Benguet Pine, 33.19 
6,1,Benguet Pine, 36.80 
6,2,Benguet Pine, 30.60 
6,3,Benguet Pine, 36.50 
6,4,Benguet Pine, 31.00 
6,5,Benguet Pine, 35.00 
6,6,Benguet Pine, 43.00 
6,7,Benguet Pine, 41.00 
6,8,Benguet Pine, 43.00 
6,9,Benguet Pine, 45.00 
6,10,Benguet Pine, 41.00 
6,11,Benguet Pine, 36.00 
6,12,Benguet Pine, 45.00 
6,13,Benguet Pine, 43.50 
6,14,Benguet Pine, 46.00 
6,15,Benguet Pine, 38.00 
6,16,Benguet Pine, 36.00 
6,17,Benguet Pine, 42.00 
6,18,Benguet Pine, 35.60 
6,19,Benguet Pine, 37.50 
6,20,Benguet Pine, 32.00 
6,21,Benguet Pine, 36.50 
6,22,Benguet Pine, 33.00 
6,23,Benguet Pine, 31.50 
6,24,Benguet Pine, 32.50 
6,25,Benguet Pine, 35.50 
6,26,Benguet Pine, 37.00 
6,27,Benguet Pine, 32.00 
6,28,Benguet Pine, 37.00 
7,1,Benguet Pine, 36.00 
7,2,Benguet Pine, 35.20 
7,3,Benguet Pine, 32.00 
7,4,Benguet Pine, 37.00 
7,5,Benguet Pine (forked), 33.50 
7,6,Benguet Pine, 33.80 
7,7,Benguet Pine, 30.50 
7,8,Benguet Pine, 31.00 
7,9,Benguet Pine, 31.50 
7,10,Benguet Pine, 31.00 
7,11,Benguet Pine, 39.00 
7,12,Benguet Pine, 37.00 
7,13,Benguet Pine, 39.00 
7,14,Benguet Pine, 35.00 
7,15,Benguet Pine, 37.00 
7,16,Benguet Pine, 35.00 
7,17,Benguet Pine, 34.50 
7,18,Benguet Pine, 33.10 
7,19,Benguet Pine, 31.00 
7,20,Benguet Pine, 43.00 
7,21,Benguet Pine, 37.00 
7,22,Benguet Pine, 31.00 
7,23,Benguet Pine, 38.00 
7,24,Benguet Pine, 36.00 
7,25,Benguet Pine, 31.00 
7,26,Benguet Pine, 34.00 
7,27,Benguet Pine, 36.00 
8,1,Benguet Pine, 42.40 
8,2,Benguet Pine, 40.30 
8,3,Benguet Pine, 37.80 
8,4,Benguet Pine, 43.20 
8,5,Benguet Pine, 43.00 
8,6,Benguet Pine, 64.40 
8,7,Benguet Pine, 36.20 
8,8,Benguet Pine, 65.10 
8,9,Benguet Pine, 38.80 
8,10,Benguet Pine, 33.30 
8,11,Benguet Pine, 45.60 
8,12,Benguet Pine, 31.50 
8,13,Benguet Pine, 43.00 
8,14,Benguet Pine, 75.80 
8,15,Benguet Pine, 52.80 
8,16,Benguet Pine, 48.10 
8,17,Benguet Pine, 50.30 
8,18,Benguet Pine, 48.00 
8,19,Benguet Pine, 31.20 
8,20,Benguet Pine, 38.50 
8,21,Benguet Pine, 37.00 
8,22,Benguet Pine, 39.00 
8,23,Benguet Pine, 42.00 
