plot number,subplot,fresh weight (g),oven dry weight (g)
1,R1,48,35
1,R2,47,41
1,R3,95,60
1,R4,64,48
1,R5,127,84
1,L1,197,120
1,L2,110,73
1,L3,115,70
1,L4,280,165
1,L5,320,152
2,R1,248,97
2,R2,1380,530
2,R3,247,89
2,R4,305,117
2,R5,1401,876
2,L1,194,96
2,L2,239,107
2,L3,259,135
2,L4,380,143
2,L5,324,178
3,R1,539,213
3,R2,606,212
3,R3,126,66
3,R4,175,89
3,R5,708,248
3,L1,357,128
3,L2,417,161
3,L3,486,196
3,L4,84,55
3,L5,268,113
4,R1,48,26
4,R2,98,65
4,R3,100,59
4,R4,162,80
4,R5,154,77
4,L1,168,86
4,L2,247,120
4,L3,55,47
4,L4,126,77
4,L5,177,86
5,R1,128,79
5,R2,82,67
5,R3,198,101
5,R4,272,125
5,R5,490,150
5,L1,234,119
5,L2,0,0
5,L3,258,165
5,L4,82,69
5,L5,65,65
6,R1,37,32
6,R2,23,16
6,R3,21,14
6,R4,42,32
6,R5,45,38
6,L1,42,42
6,L2,24,18
6,L3,99,68
6,L4,77,46
6,L5,38,32
7,R1,78,56
7,R2,23,13
7,R3,49,46
7,R4,39,27
7,R5,43,42
7,L1,52,32
7,L2,28,17
7,L3,143,101
7,L4,0,0
7,L5,56,43
8,R1,319,99
8,R2,399,112
8,R3,462,145
8,R4,493,130
8,R5,492,151
8,L1,481,132
8,L2,345,91
8,L3,555,155
8,L4,430,118
8,L5,365,111
9,R1,30,28
9,R2,9,5
9,R3,54,41
9,R4,107,98
9,R5,62,57
9,L1,305,288
9,L2,192,190
9,L3,181,169
9,L4,123,105
9,L5,43,32
10,R1,59,23
10,R2,63,28
10,R3,45,26
10,R4,69,26
10,R5,87,36
10,L1,141,70
10,L2,261,106
10,L3,42,22
10,L4,86,44
10,L5,174,59
11,R1,189,95
11,R2,79,61
11,R3,19,16
11,R4,298,116
11,R5,246,109
11,L1,222,115
11,L2,106,74
11,L3,110,40
11,L4,156,93
11,L5,130,85
12,R1,1,0
12,R2,54,47
12,R3,29,21
12,R4,129,116
12,R5,4,2
12,L1,0,0
12,L2,2,0
12,L3,26,11
12,L4,7,2
12,L5,23,9
13,R1,1,0
13,R2,2,0
13,R3,6,0
13,R4,2,0
13,R5,1,0
13,L1,5,0
13,L2,15,5
13,L3,1,0
13,L4,8,2
13,L5,13,3
14,R1,69,42
14,R2,96,47
14,R3,26,12
14,R4,32,16
14,R5,1,0
14,L1,23,12
14,L2,118,67
14,L3,73,38
14,L4,33,16
14,L5,2,0
15,R1,305,135
15,R2,21,11
15,R3,14,9
15,R4,219,138
15,R5,614,322
15,L1,66,36
15,L2,31,16
15,L3,42,24
15,L4,263,125
15,L5,307,161
16,R1,0,0
16,R2,0,0
16,R3,0,0
16,R4,0,0
16,R5,0,0
16,L1,0,0
16,L2,0,0
16,L3,0,0
16,L4,0,0
16,L5,18,9
17,R1,335,141
17,R2,509,286
17,R3,121,80
17,R4,123,78
17,R5,41,28
17,L1,88,46
17,L2,101,57
17,L3,51,27
17,L4,61,35
17,L5,20,14
18,R1,130,86
18,R2,183,97
18,R3,116,78
18,R4,36,13
18,R5,67,34
18,L1,121,63
18,L2,283,194
18,L3,88,59
18,L4,207,136
18,L5,57,40
19,R1,48,23
19,R2,20,10
19,R3,25,12
19,R4,47,22
19,R5,225,120
19,L1,128,66
19,L2,124,68
19,L3,62,36
19,L4,47,23
19,L5,47,21
20,R1,76,41
20,R2,191,85
20,R3,157,57
20,R4,159,66
20,R5,103,46
20,L1,76,40
20,L2,55,24
20,L3,128,54
20,L4,98,40
20,L5,311,118
21,R1,119,107
21,R2,162,140
21,R3,129,112
21,R4,227,201
21,R5,142,122
21,L1,407,367
21,L2,315,277
21,L3,63,53
21,L4,246,217
21,L5,196,175
22,R1,134,117
22,R2,82,72
22,R3,62,52
22,R4,85,72
22,R5,116,102
22,L1,95,81
22,L2,71,58
22,L3,101,86
22,L4,150,127
22,L5,101,89
23,R1,93,44
23,R2,74,31
23,R3,58,26
23,R4,151,67
23,R5,292,129
23,L1,71,30
23,L2,100,40
23,L3,57,25
23,L4,1614,969
23,L5,184,80
24,R1,109,54
24,R2,481,191
24,R3,301,120
24,R4,486,244
24,R5,53,29
24,L1,131,61
24,L2,241,107
24,L3,232,130
24,L4,138,65
24,L5,178,75
25,R1,361,269
25,R2,497,351
25,R3,330,247
25,R4,355,258
25,R5,130,87
25,L1,472,301
25,L2,640,510
25,L3,342,283
25,L4,304,240
25,L5,219,170
26,R1,94,45
26,R2,101,53
26,R3,129,70
26,R4,180,129
26,R5,270,112
26,L1,90,57
26,L2,62,23
26,L3,19,9
26,L4,68,42
26,L5,112,52
27,R1,254,94
27,R2,192,70
27,R3,156,70
27,R4,48,17
27,R5,194,75
27,L1,36,18
27,L2,50,23
27,L3,56,26
27,L4,26,15
27,L5,81,29
28,R1,291,129
28,R2,245,103
28,R3,200,112
28,R4,91,45
28,R5,147,74
28,L1,105,53
28,L2,108,40
28,L3,97,45
28,L4,36,15
28,L5,62,31
29,R1,570,225
29,R2,344,142
29,R3,362,146
29,R4,796,296
29,R5,526,223
29,L1,221,108
29,L2,85,38
29,L3,133,57
29,L4,129,52
29,L5,157,67
30,R1,614,297
30,R2,326,140
30,R3,288,130
30,R4,304,159
30,R5,417,161
30,L1,160,68
30,L2,163,71
30,L3,278,127
30,L4,44,16
30,L5,72,33
31,R1,31,10
31,R2,114,38
31,R3,141,47
31,R4,46,16
31,R5,41,15
31,L1,64,22
31,L2,205,95
31,L3,62.66,27
31,L4,36,12
31,L5,73,34
32,R1,587,253
32,R2,156,44
32,R3,79,25
32,R4,76,27
32,R5,90,36
32,L1,48,17
32,L2,170,75
32,L3,215,91
32,L4,326,147
32,L5,279,108
33,R1,405,124
33,R2,117,37
33,R3,46,15
33,R4,274,112
33,R5,54,20
33,L1,108,40
33,L2,437,141
33,L3,191,78
33,L4,77,28
33,L5,44,18
34,R1,176,52
34,R2,118,34
34,R3,163,57
34,R4,73,25
34,R5,196,71
34,L1,133,48
34,L2,88,29
34,L3,117,37
34,L4,146,53
34,L5,179,61
