plot number,% MC,BioMass (Mg ha^-1),C Stored (Mg ha^-1),CO Stored (Mg ha^-1)
1,17.03204047217538,28.426666666666662,12.792,46.90399999999999
2,23.606044815007817,23.455999999999996,10.555200000000003,38.7024
3,32.306789851884446,18.464000000000002,8.308800000000002,30.465600000000002
4,31.99187742292782,29.471999999999998,13.2624,48.6288
5,48.0375898286346,3.7600000000000002,1.6920000000000002,6.204
6,22.16599190283401,27.683999999999997,12.4578,45.678599999999996
7,15.384615384615385,20.240000000000002,9.108,33.395999999999994
8,48.43832715722605,27.27199999999999,12.272400000000001,44.9988
9,8.408679927667269,4.0520000000000005,1.8234000000000001,6.685799999999999
10,26.262626262626267,2.92,1.3139999999999998,4.818
11,36.49235416273362,13.456,6.0552,22.2024
12,10.675883256528419,4.651999999999999,2.0933999999999995,7.6758
13,9.35838355193194,10.228,4.602599999999999,16.876199999999997
14,35.40929762506316,20.452,9.2034,33.745799999999996
15,13.486842105263158,8.415999999999999,3.7871999999999995,13.8864
16,12.173128944995492,3.896,1.7532,6.428399999999999
17,7.465618860510806,3.768,1.6956,6.2172
18,13.18181818181818,3.0559999999999996,1.3752,5.0424
19,16.308763784097504,11.535999999999998,5.1912,19.034399999999998
20,12.5,7.7559999999999985,3.4902,12.7974
21,11.714855433698904,7.083999999999999,3.1877999999999997,11.6886
22,14.142427281845539,3.4240000000000004,1.5408000000000002,5.649600000000001
23,18.086544962812713,19.383999999999993,8.722799999999998,31.983600000000003
24,31.61862527716186,12.336,5.5512,20.354399999999995
25,25.589041095890412,10.863999999999997,4.888800000000001,17.9256
26,13.78392762107504,12.959999999999999,5.831999999999999,21.384
27,12.82051282051282,8.432,3.7944000000000004,13.912799999999999
28,14.790419161676645,5.691999999999998,2.5614,9.391799999999998
29,28.368794326241137,7.675999999999999,3.4542,12.665399999999998
30,18.574108818011258,6.944,3.1247999999999996,11.457599999999998
31,23.164835164835164,6.991999999999999,3.1464,11.536799999999998
32,26.023495906016375,8.312,3.7404,13.7148
33,35.15292295780101,6.7,3.015,11.055
34,47.60491733785502,4.944,2.2247999999999997,8.157599999999999
35,15.272496831432193,5.348,2.4066,8.824200000000001
36,23.066926575698503,4.736,2.1312,7.814399999999999
37,12.158393753485779,6.3,2.835,10.395
38,10.678466076696164,6.056,2.7252,9.9924
39,36.65706051873199,4.395999999999999,1.9782000000000004,7.253399999999997
40,24.832214765100673,4.032,1.8144000000000002,6.652799999999999
41,23.27459618208517,4.18,1.8809999999999998,6.897
42,16.575091575091573,3.6439999999999997,1.6398,6.0126
43,15.01632208922742,9.372,4.2174,15.4638
44,28.055388320288984,14.34,6.453,23.660999999999994
45,28.63615768010874,6.3,2.835,10.395
