plot number,% MC,BioMass,C Stored,CO Stored
1,39.55808980755524,3.3919999999999995,1.5264,5.596799999999999
2,52.42113723126381,9.472,4.2624,15.628799999999998
3,60.6744556558683,5.9239999999999995,2.6658,9.774600000000001
4,45.84269662921348,2.892,1.3014000000000001,4.771800000000001
5,48.0375898286346,3.7600000000000002,1.6920000000000002,6.204
6,24.553571428571427,1.3519999999999999,0.6084000000000002,2.2308
7,26.22309197651663,1.508,0.6785999999999999,2.4882
8,71.34300852338171,4.975999999999999,2.2392,8.210399999999998
9,8.408679927667269,4.0520000000000005,1.8234000000000001,6.685799999999999
10,57.156767283349566,1.7600000000000002,0.792,2.904
11,48.29581993569132,3.2159999999999997,1.4472,5.306399999999999
12,24.363636363636363,0.8320000000000001,0.3744,1.3727999999999998
13,81.48148148148148,0.039999999999999994,0.018,0.06599999999999999
14,47.14587737843552,0.9999999999999998,0.45,1.65
15,48.08714133900106,3.908,1.7586,6.448199999999998
16,50.0,0.036,0.0162,0.059399999999999994
17,45.37931034482759,3.1679999999999997,1.4256,5.2272
18,37.88819875776397,3.2,1.4400000000000002,5.279999999999999
19,48.124191461837,1.6039999999999999,0.7218,2.6466000000000003
20,57.82865583456426,2.284,1.0278,3.7686
21,11.714855433698904,7.083999999999999,3.1877999999999997,11.6886
22,14.142427281845539,3.4240000000000004,1.5408000000000002,5.649600000000001
23,46.510764662212324,5.764,2.5938000000000003,9.5106
24,54.212765957446805,4.304,1.9368000000000005,7.1016
25,25.589041095890412,10.863999999999997,4.888800000000001,17.9256
26,47.37777777777778,2.368,1.0656,3.9072000000000005
27,60.01829826166514,1.748,0.7866,2.8842
28,53.18379160636758,2.5880000000000005,1.1646,4.2702
29,59.253686427926574,5.416,2.4372,8.936399999999999
30,54.91372843210802,4.807999999999999,2.1635999999999997,7.933199999999999
31,61.16313939483322,1.2639999999999998,0.5688,2.0856
32,59.37808489634748,3.2919999999999994,1.4813999999999996,5.431799999999999
33,65.031374786081,2.452,1.1034,4.0458
34,66.37868970482361,1.8679999999999999,0.8406,3.0822000000000003
35,61.24872751951137,4.568,2.0555999999999996,7.537200000000001
36,61.44191476941039,5.284,2.3777999999999997,8.718599999999999
37,56.723338485316845,1.1199999999999999,0.504,1.848
38,30.93220338983051,0.6519999999999999,0.2934,1.0757999999999999
39,56.647940074906366,3.7039999999999997,1.6667999999999998,6.111600000000001
40,45.21400778210117,5.632,2.5344,9.2928
41,53.87355298308103,2.0719999999999996,0.9324000000000001,3.4187999999999996
42,55.0609756097561,2.9479999999999995,1.3266000000000002,4.864199999999999
43,60.86956521739131,2.1599999999999997,0.9719999999999999,3.564
44,58.34076717216771,1.8679999999999999,0.8406,3.0822000000000003
45,58.98058252427184,1.3519999999999996,0.6083999999999999,2.2308
