plot number,subplot,fresh weigh (g),oven dry (g)
1,R1,541,453
1,R2,789,686
1,R3,775,636
1,R4,1303,1045
1,R5,806,677
1,L1,826,716
1,L2,470,426
1,L3,821,715
1,L4,925,731
1,L5,994,764
2,R1,753,550
2,R2,1323,1149
2,R3,739,504
2,R4,779,560
2,R5,752,595
2,L1,535,424
2,L2,452,341
2,L3,1025,780
2,L4,489,338
2,L5,829,623
3,R1,477,338
3,R2,929,492
3,R3,549,443
3,R4,1198,901
3,R5,787,511
3,L1,437,273
3,L2,652,401
3,L3,286,205
3,L4,555,445
3,L5,949,607
4,R1,738,555
4,R2,978,647
4,R3,853,633
4,R4,1529,1034
4,R5,1402,901
4,L1,807,573
4,L2,946,687
4,L3,1406,886
4,L4,1329,863
4,L5,846,589
5,R1,1007,697
5,R2,876,517
5,R3,1078,532
5,R4,1145,601
5,R5,1232,673
5,L1,1034,626
5,L2,2085,1091
5,L3,1135,750
5,L4,808,567
5,L5,889,696
6,R1,522,457
6,R2,1104,829
6,R3,929,735
6,R4,1273,858
6,R5,1220,784
6,L1,1144,967
6,L2,584,529
6,L3,595,545
6,L4,693,540
6,L5,828,677
7,R1,0,0
7,R2,1143,997
7,R3,610,490
7,R4,530,503
7,R5,786,654
7,L1,0,0
7,L2,958,896
7,L3,806,624
7,L4,431,395
7,L5,716,501
8,R1,1757,1014
8,R2,1340,664
8,R3,1228,650
8,R4,1345,642
8,R5,2120,1122
8,L1,904,459
8,L2,1358,751
8,L3,1363,650
8,L4,822,430
8,L5,986,436
9,R1,30,28
9,R2,9,5
9,R3,54,41
9,R4,107,98
9,R5,62,57
9,L1,305,288
9,L2,192,190
9,L3,181,169
9,L4,123,105
9,L5,43,32
10,R1,412,296
10,R2,31,20
10,R3,11,9
10,R4,83,64
10,R5,58,45
10,L1,173,122
10,L2,29,20
10,L3,5,4
10,L4,64,54
10,L5,124,96
11,R1,0,0
11,R2,867,604
11,R3,411,328
11,R4,557,301
11,R5,792,347
11,L1,683,491
11,L2,501,335
11,L3,332,218
11,L4,502,352
11,L5,652,388
12,R1,84,74
12,R2,0,0
12,R3,0,0
12,R4,0,0
12,R5,142,135
12,L1,763,679
12,L2,58,50
12,L3,82,71
12,L4,95,86
12,L5,78,68
13,R1,254,238
13,R2,138,129
13,R3,336,301
13,R4,419,372
13,R5,372,330
13,L1,217,201
13,L2,333,305
13,L3,127,114
13,L4,373,341
13,L5,252,226
14,R1,828,557
14,R2,1091,655
14,R3,804,509
14,R4,912,609
14,R5,551,417
14,L1,737,508
14,L2,939,578
14,L3,938,561
14,L4,785,467
14,L5,331,252
15,R1,537,456
15,R2,150,137
15,R3,178,153
15,R4,71,64
15,R5,672,590
15,L1,282,238
15,L2,77,67
15,L3,261,222
15,L4,56,48
15,L5,148,129
16,R1,248,219
16,R2,44,40
16,R3,101,93
16,R4,61,57
16,R5,83,76
16,L1,42,36
16,L2,95,72
16,L3,153,128
16,L4,161,145
16,L5,121,108
17,R1,94,84
17,R2,116,106
17,R3,63,56
17,R4,25,22
17,R5,315,302
17,L1,136,122
17,L2,65,60
17,L3,72,69
17,L4,55,49
17,L5,77,72
18,R1,164,149
18,R2,70,59
18,R3,33,25
18,R4,59,49
18,R5,93,78
18,L1,131,117
18,L2,104,93
18,L3,77,66
18,L4,60,51
18,L5,89,77
19,R1,359,315
19,R2,550,463
19,R3,159,119
19,R4,378,312
19,R5,426,346
19,L1,255,225
19,L2,357,286
19,L3,263,235
19,L4,257,225
19,L5,442,358
20,R1,313,275
20,R2,181,155
20,R3,346,298
20,R4,124,106
20,R5,332,301
20,L1,166,146
20,L2,142,125
20,L3,158,135
20,L4,164,141
20,L5,290,257
21,R1,119,107
21,R2,162,140
21,R3,129,112
21,R4,227,201
21,R5,142,122
21,L1,407,367
21,L2,315,277
21,L3,63,53
21,L4,246,217
21,L5,196,175
22,R1,134,117
22,R2,82,72
22,R3,62,52
22,R4,85,72
22,R5,116,102
22,L1,95,81
22,L2,71,58
22,L3,101,86
22,L4,150,127
22,L5,101,89
23,R1,643,522
23,R2,372,303
23,R3,285,240
23,R4,216,186
23,R5,168,144
23,L1,473,392
23,L2,1261,976
23,L3,767,637
23,L4,1440,1205
23,L5,291,241
24,R1,539,441
24,R2,581,303
24,R3,504,232
24,R4,293,188
24,R5,279,235
24,L1,438,357
24,L2,519,319
24,L3,432,290
24,L4,411,348
24,L5,514,371
25,R1,361,269
25,R2,497,351
25,R3,330,247
25,R4,355,258
25,R5,130,87
25,L1,472,301
25,L2,640,510
25,L3,342,283
25,L4,304,240
