plotnumber,treenumber,common name,dbh,,
1,1,Benguet Pine,45.1,,
1,2,Benguet Pine,41.5,,
1,3,Benguet Pine,43.5,,
1,4,Benguet Pine,36,,
1,5,Benguet Pine,39.9,,
1,6,Benguet Pine,30.5,,
1,7,Benguet Pine,37.8,,
1,8,Benguet Pine,39.1,,
1,9,Benguet Pine,42.6,,
1,10,Benguet Pine,48.2,,
1,11,Benguet Pine,46.6,,
1,12,Benguet Pine,32.8,,
1,13,Benguet Pine,34.4,,
1,14,Benguet Pine,42.1,,
2,1,Benguet Pine,58.8,,
2,2,Benguet Pine,35.9,,
2,3,Benguet Pine,37.5,,
2,4,Benguet Pine,37,,
2,5,Benguet Pine,38,,
2,6,Benguet Pine,35.5,,
2,7,Benguet Pine,40.5,,
2,8,Benguet Pine,40.8,,
2,9,Benguet Pine,42.8,,
2,10,Benguet Pine,33.5,,
2,11,Benguet Pine,42.8,,
2,12,Benguet Pine,35,,
2,13,Benguet Pine,31.4,,
2,14,Benguet Pine,41,,
2,15,Benguet Pine,31,,
2,16,Benguet Pine,40,,
2,17,Benguet Pine,35.7,,
2,18,Benguet Pine,44,,
2,19,Benguet Pine,31,,
2,20,Benguet Pine,45,,
2,21,Benguet Pine,35,,
2,22,Benguet Pine,44.5,,
2,23,Benguet Pine,34,,
2,24,Benguet Pine,32.8,,
2,25,Benguet Pine,37,,
2,26,Benguet Pine,36.5,,
2,27,Benguet Pine,34.2,,
2,28,Benguet Pine,37.7,,
2,29,Benguet Pine,37,,
2,30,Benguet Pine,36,,
2,31,Benguet Pine,40.7,,
2,32,Benguet Pine,40.5,,
2,33,Benguet Pine,38.8,,
2,34,Benguet Pine,40.3,,
2,35,Benguet Pine,38.1,,
2,36,Benguet Pine,32,,
2,37,Benguet Pine,31.5,,
2,38,Benguet Pine,39.96,,
3,1,Benguet Pine,80.6,,
3,2,Benguet Pine,33.5,,
3,3,Benguet Pine,32.4,,
3,4,Benguet Pine,35.2,,
3,5,Benguet Pine,34.6,,
3,6,Benguet Pine,32.9,,
3,7,Benguet Pine,32.5,,
3,8,Benguet Pine,33.5,,
3,9,Benguet Pine,47.6,,
3,10,Benguet Pine,39.9,,
3,11,Benguet Pine,58.5,,
3,12,Benguet Pine,32.8,,
3,13,Benguet Pine,33,,
3,14,Benguet Pine,35.3,,
3,15,Benguet Pine,41.2,,
4,1,Benguet Pine,36.9,,
4,2,Benguet Pine,34.5,,
4,3,Benguet Pine,38.4,,
4,4,Benguet Pine,31.7,,
4,5,Benguet Pine,41.9,,
4,6,Benguet Pine,40,,
4,7,Benguet Pine,40.7,,
4,8,Benguet Pine,32.1,,
4,9,Benguet Pine,32.8,,
4,10,Benguet Pine,35.7,,
4,11,Benguet Pine,31.7,,
4,12,Benguet Pine,30.4,,
4,13,Benguet Pine,39.3,,
4,14,Benguet Pine,33.9,,
4,15,Benguet Pine,36.9,,
4,16,Benguet Pine,37.3,,
4,17,Benguet Pine,37.3,,
4,18,Benguet Pine,36,,
4,19,Benguet Pine,34.9,,
4,20,Benguet Pine,31.8,,
4,21,Benguet Pine,30.7,,
4,22,Benguet Pine,40.5,,
4,23,Benguet Pine,34.9,,
4,24,Benguet Pine,38,,
4,25,Benguet Pine,33.9,,
4,26,Benguet Pine,45.6,,
4,27,Benguet Pine,39.1,,
4,28,Benguet Pine,44,,
4,29,Benguet Pine,34,,
4,30,Benguet Pine,35,,
4,31,Benguet Pine,42.5,,
4,32,Benguet Pine,52.4,,
4,33,Benguet Pine,30.1,,
4,34,Benguet Pine,30.09,,
4,35,Benguet Pine,37.4,,
4,36,Benguet Pine,35.9,,
4,37,Benguet Pine,36.6,,
4,38,Benguet Pine,32,,
4,39,Benguet Pine,30.3,,
4,40,Benguet Pine,35.5,,
4,41,Benguet Pine,37.8,,
4,42,Benguet Pine,36,,
4,43,Benguet Pine,43,,
4,44,Benguet Pine,37,,
4,45,Benguet Pine,34,,
4,46,Benguet Pine,36.7,,
4,47,Benguet Pine,30.8,,
4,48,Benguet Pine,30.5,,
4,49,Benguet Pine,30.1,,
