plot number,tree number,common name,dbh
1,1,Benguet Pine,12
1,2,Benguet Pine,5.4
1,3,Benguet Pine,6.1
1,4,Benguet Pine,21.7
1,5,Benguet Pine,7.3
1,6,Benguet Pine,13
1,7,Alnus,5.6
1,8,Alnus,5.5
1,9,Alnus,5.1
1,10,Alnus,5.4
1,11,Alnus,8.8
1,12,Alnus,6
1,13,Alnus,7
1,14,Alnus,6.5
1,15,Benguet Pine,30
2,1,Benguet Pine,12.5
2,2,Benguet Pine,11.3
2,3,Benguet Pine,7
2,4,Benguet Pine,9.5
2,5,Benguet Pine,9.9
2,6,Alnus,8.5
2,7,Alnus,7
2,8,Alnus,7.5
2,9,Alnus,8.3
2,10,Benguet Pine,8
3,1,Pidikan,7.4
3,2,Salingsingan (FORKED),12
3,3,Salingsingan (FORKED),10
3,4,Salingsingan (FORKED),6
3,5,Salingsingan (FORKED),6.4
3,6,Benguet Pine,6.4
4,1,Benguet Pine,27.9
4,2,Benguet Pine,26.5
4,3,Benguet Pine,18.5
4,4,Benguet Pine,29.6
5,1,Gmelina,10
5,2,Peewee (forked),12.5
5,3,Peewee (forked),11
5,4,Peewee (forked),10
6,1,Benguet Pine,27.8
6,2,Benguet Pine,16.09
6,3,Benguet Pine,29
6,4,Benguet Pine,21.4
6,5,Benguet Pine,21
6,6,Benguet Pine,21.8
6,7,Benguet Pine,30
6,8,Benguet Pine,30
6,9,Benguet Pine,30
7,1,Benguet Pine (forked),28.5
7,2,Benguet Pine,28.8
7,3,Benguet Pine,28.9
7,4,Benguet Pine,18.5
7,5,Benguet Pine,20
7,6,Benguet Pine,20.3
7,7,Benguet Pine,21
7,8,Benguet Pine,22
7,9,Benguet Pine,20
7,10,Benguet Pine (forked),28.5
7,11,Benguet Pine,28.5
7,12,Benguet Pine,27
8,1,Benguet Pine,28.1
8,2,Benguet Pine,9.4
8,3,Pidikan (forked),10
8,4,Pidikan (forked),10.7
8,5,Pidikan (forked),14.2
8,6,Alnus,13
8,7,Benguet Pine,19.7
8,8,Salingsigan,9.15
9,1,Alnus (forked),9.6
9,2,Alnus (forked),8.5
9,3,Alnus (forked),7.3
9,4,Alnus (forked),6.8
9,5,Alnus (forked),8
9,6,Benguet Pine,7.4
10,1,Benguet Pine,20.79
10,2,Benguet Pine,10.91
10,3,Benguet Pine,5.3
10,4,Benguet Pine,8.6
10,5,Benguet Pine,30
11,1,Benguet Pine,24.4
11,2,Benguet Pine,6.6
11,3,Benguet Pine,19.8
11,4,Benguet Pine,14.7
11,5,Benguet Pine,7.5
11,6,Benguet Pine,17.7
11,7,Benguet Pine,18.9
11,8,Benguet Pine,7.9
11,9,Benguet Pine,26.8
11,10,Benguet Pine,24.9
11,11,Benguet Pine,12
11,12,Benguet Pine,27.4
11,13,Benguet Pine,8.8
11,14,Benguet Pine,10.45
11,15,Benguet Pine,20.1
11,16,Benguet Pine,30
12,1,Gmelina Tree,16
12,2,Narra Tree,6
12,3,Gmelina Tree,5
12,4,Alnus Tree,12
12,5,Gmelina Tree,9
12,6,Benguet Pine,30
13,1,Alnus,10
13,2,Benguet Pine,28.9
13,3,Benguet Pine,14.2
13,4,Benguet Pine,17.1
13,5,Benguet Pine,30
14,1,Benguet Pine,26.2
14,2,Benguet Pine,21.6
14,3,Benguet Pine,18
14,4,Benguet Pine,17.6
14,5,Benguet Pine,19
14,6,Benguet Pine,25.7
14,7,Benguet Pine,27.5
14,8,Benguet Pine,26
14,9,Benguet Pine,27.4
14,10,Benguet Pine,18
14,11,Benguet Pine,21.5
14,12,Alnus,19.9
14,13,Alnus,20.5
14,14,Alnus,15.7
14,15,Alnus,19.7
14,16,Alnus,30
15,1,Benguet Pine,17.7
15,2,Benguet Pine,21.6
15,3,Benguet Pine,23.3
15,4,Benguet Pine,14.8
15,5,Benguet Pine,23.7
15,6,Benguet Pine,11.4
15,7,Gmelina,5.1
15,8,Gmelina,20.3
15,9,Gmelina,12.7
15,10,Gmelina,9.5
15,11,Gmelina,7.4
15,12,Gmelina,5.9
15,13,Gmelina,5.2
16,1,Gmelina, 25.5 
16,2,Caliandra, 10.0 
16,3,Gmelina, 21.0 
16,4,Caliandra, 5.9 
16,5,Caliandra, 5.0 
16,6,Caliandra, 5.0 
16,7,Caliandra, 5.9 
16,8,Caliandra, 5.2 
16,9,Caliandra, 10.4 
16,10,Caliandra, 10.3 
16,11,Gmelina, 18.5 
16,12,Caliandra, 5.0 
16,13,Caliandra, 5.5 
16,14,Caliandra, 6.8 
16,15,Caliandra, 6.6 
16,16,Caliandra, 5.9 
17,1,Benguet Pine,10.5
17,2,Gmelina,5.5
18,1,Benguet Pine,29.8
19,1,Gmelina,5.9
19,2,Gmelina,5.6
19,3,Gmelina,6.1
20,0,,
21,0,,
22,0,,
23,1,Benguet Pine,27.3
23,2,Ipil-ipil,6.4
23,3,Benguet Pine,27.3
23,4,Alnus,5.1
23,5,Alnus,6.1
23,6,Alnus,6
23,7,Alnus,9.5
24,1,Benguet Pine,15
24,2,Benguet Pine,7.8
24,3,Benguet Pine,14.1
24,4,Benguet Pine,21.2
24,5,Benguet Pine,8.3
24,6,Benguet Pine,13.7
24,7,Benguet Pine,12.9
24,8,Benguet Pine,10.8
25,0,,
26,1,Benguet Pine,21.7
