PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

plot number,% MC,BioMass (Mg ha^-1),C Stored (Mg ha^-1),CO Stored (Mg ha^-1)
1,16.98181818181818,273.96,123.282,452.034
2,23.606044815007817,234.55999999999995,105.55199999999999,387.02399999999994
3,32.306789851884446,184.64000000000001,83.088,304.65600000000006
4,31.99187742292782,294.71999999999997,132.62399999999997,486.2879999999999
5,40.20728142439543,270.00000000000006,121.5,445.5
6,22.16599190283401,276.84000000000003,124.57800000000002,456.7859999999999
7,15.384615384615385,202.4,91.08,333.9599999999999
8,48.43832715722605,272.71999999999997,122.724,449.988
9,8.408679927667269,40.519999999999996,18.234,66.858
10,26.262626262626267,29.199999999999996,13.139999999999997,48.17999999999999
11,36.49235416273362,134.56,60.552,222.02399999999997
12,10.675883256528419,46.51999999999999,20.933999999999997,76.758
13,9.35838355193194,102.28,46.025999999999996,168.762
14,35.40929762506316,204.51999999999998,92.03399999999999,337.45799999999997
15,13.486842105263158,84.16,37.87199999999999,138.86399999999998
16,12.173128944995492,38.959999999999994,17.532,64.284
17,7.465618860510806,37.68000000000001,16.956,62.172000000000004
18,13.18181818181818,30.559999999999995,13.751999999999999,50.42399999999999
19,16.308763784097504,115.35999999999999,51.912,190.344
20,12.5,77.55999999999999,34.902,127.974
21,11.714855433698904,70.84,31.877999999999997,116.886
22,14.142427281845539,34.24,15.408000000000001,56.495999999999995
23,18.086544962812713,193.83999999999997,87.228,319.836
24,31.61862527716186,123.36000000000001,55.512,203.544
25,25.589041095890412,108.64000000000001,48.888,179.256
26,13.78392762107504,129.6,58.31999999999999,213.83999999999997
27,12.82051282051282,84.32,37.944,139.128
28,14.790419161676645,56.919999999999995,25.613999999999997,93.91799999999999
29,28.368794326241137,76.76,34.541999999999994,126.654
30,18.574108818011258,69.44,31.247999999999998,114.57599999999998
31,23.164835164835164,69.91999999999999,31.464000000000006,115.36800000000001
32,26.023495906016375,83.11999999999999,37.403999999999996,137.14799999999997
33,35.15292295780101,67.0,30.15,110.54999999999998
34,47.60491733785502,49.440000000000005,22.247999999999998,81.576
35,15.272496831432193,53.48,24.065999999999995,88.24199999999999
36,23.066926575698503,47.36,21.312,78.14399999999998
37,12.158393753485779,63.0,28.35,103.95
38,10.678466076696164,60.55999999999999,27.252,99.92399999999999
39,36.65706051873199,43.959999999999994,19.782,72.534
40,24.832214765100673,40.32,18.144000000000002,66.52799999999999
41,23.27459618208517,41.800000000000004,18.81,68.97
42,16.575091575091573,36.43999999999999,16.398,60.12599999999999
43,15.01632208922742,93.72,42.174,154.63799999999998
44,28.055388320288984,143.4,64.53,236.60999999999999
45,28.63615768010874,63.0,28.35,103.95
