PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

SOURCE,Coal,Coal,Coal,Luzon-Visayas Grid,Luzon-Visayas Grid,Luzon-Visayas Grid,Mindanao Grid,Mindanao Grid,Mindanao Grid
Month,Mill Operations,Mine Operations,Other Loads,Mill Operations,Mine Operations,Other Loads,Mill Operations,Mine Operations,Other Loads
1,16453818.96,5864635.172,1212541.523,0.0,0.0,0.0,0.0,0.0,0.0
2,14933288.19,5991444.224,1104806.597,0.0,0.0,0.0,0.0,0.0,0.0
3,17059556.35,6255978.914,1156641.241,0.0,0.0,0.0,0.0,0.0,0.0
4,15944482.83,5759322.81,1070553.277,0.0,0.0,0.0,0.0,0.0,0.0
5,17801536.98,6809969.235,1116165.868,0.0,0.0,0.0,0.0,0.0,0.0
6,16754310.18,6383590.014,1110788.076,0.0,0.0,0.0,0.0,0.0,0.0
7,16668463.23,6358504.871,1370575.671,0.0,0.0,0.0,0.0,0.0,0.0
8,14870535.08,6042923.017,1350632.21,0.0,0.0,0.0,0.0,0.0,0.0
9,14459906.3,5351830.661,1311956.497,0.0,0.0,0.0,0.0,0.0,0.0
10,15953341.68,5790829.105,1373664.041,0.0,0.0,0.0,0.0,0.0,0.0
11,14752542.82,5580750.0,1432541.8,0.0,0.0,0.0,0.0,0.0,0.0
12,15731803.41,5813916.632,1186378.692,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL (kg),191383586.01000002,72003694.655,14797245.492999999,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL (Mg),191383.58601000003,72003.694655,14797.245492999999,0.0,0.0,0.0,0.0,0.0,0.0
efficiency,0.851,0.851,0.851,0.6032,0.6032,0.6032,0.851,0.851,0.851
tCO2e,162867.43169451,61275.144151404995,12592.455914542998,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL tCO2e,236735.03176045802
