PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

plot number,% MC,BioMass,C Stored,CO Stored
1,39.55808980755524,33.92,15.264,55.967999999999996
2,52.42113723126381,94.72,42.624,156.28799999999995
3,60.6744556558683,59.239999999999995,26.657999999999998,97.74600000000001
4,45.84269662921348,28.919999999999998,13.014000000000001,47.717999999999996
5,48.0375898286346,37.6,16.919999999999995,62.039999999999985
6,24.553571428571427,13.520000000000001,6.0840000000000005,22.307999999999996
7,26.22309197651663,15.079999999999998,6.786,24.881999999999998
8,71.34300852338171,49.76,22.392000000000003,82.10399999999998
9,24.435318275154007,29.439999999999998,13.248000000000001,48.576
10,57.156767283349566,17.6,7.92,29.04
11,48.29581993569132,32.16,14.472000000000003,53.063999999999986
12,24.363636363636363,8.319999999999999,3.7439999999999998,13.727999999999998
13,81.48148148148148,0.4,0.18,0.6599999999999999
14,47.14587737843552,10.0,4.500000000000001,16.5
15,48.08714133900106,39.08,17.586,64.482
16,50.0,0.36,0.16199999999999998,0.594
17,45.37931034482759,31.68,14.256000000000004,52.272000000000006
18,37.88819875776397,31.999999999999993,14.4,52.8
19,48.124191461837,16.04,7.217999999999999,26.465999999999998
20,57.82865583456426,22.839999999999996,10.278,37.68599999999999
21,53.099173553719005,9.079999999999998,4.086,14.982000000000003
22,14.142427281845539,34.24,15.408000000000001,56.495999999999995
23,46.510764662212324,57.64,25.937999999999995,95.106
24,54.212765957446805,43.04,19.368,71.01599999999999
25,43.798449612403104,17.4,7.83,28.709999999999997
26,47.37777777777778,23.68,10.656000000000002,39.072
27,60.01829826166514,17.479999999999997,7.866000000000001,28.841999999999995
28,53.18379160636758,25.879999999999995,11.645999999999999,42.701999999999984
29,59.253686427926574,54.15999999999999,24.372,89.364
30,54.91372843210802,48.07999999999999,21.636000000000003,79.332
31,61.17936117936118,12.639999999999997,5.688000000000001,20.855999999999998
32,59.37808489634748,32.92,14.813999999999998,54.318
33,65.031374786081,24.519999999999996,11.034,40.458
34,66.37868970482361,18.68,8.406,30.821999999999996
35,61.24872751951137,45.67999999999999,20.555999999999997,75.37199999999999
36,61.44191476941039,52.83999999999999,23.778000000000002,87.186
37,56.723338485316845,11.2,5.04,18.479999999999997
38,30.93220338983051,6.5200000000000005,2.934,10.758
39,56.647940074906366,37.04,16.668,61.115999999999985
40,45.21400778210117,56.31999999999999,25.344,92.92800000000001
41,53.87355298308103,20.720000000000002,9.324000000000002,34.188
42,55.0609756097561,29.479999999999997,13.266000000000002,48.64199999999999
43,60.86956521739131,21.6,9.719999999999999,35.63999999999999
44,58.34076717216771,18.68,8.405999999999999,30.822000000000003
45,58.98058252427184,13.52,6.084,22.308
